1,10,item_1,A
2,20,item_2,A
3,30,item_3,A
4,40,item_4,A
5,50,item_5,A
6,60,item_6,A
7,70,item_7,A
8,80,item_8,A
9,90,item_9,A
10,100,item_10,A
11,110,item_11,A
12,120,item_12,A
13,130,item_13,A
14,140,item_14,A
15,150,item_15,A
16,160,item_16,A
17,170,item_17,A
18,180,item_18,A
19,190,item_19,A
20,200,item_20,A
21,210,item_21,A
22,220,item_22,A
23,230,item_23,A
24,240,item_24,A
25,250,item_25,A
26,260,item_26,A
27,270,item_27,A
28,280,item_28,A
29,290,item_29,A
30,300,item_30,A
31,310,item_31,A
32,320,item_32,A
33,330,item_33,A
34,340,item_34,A
35,350,item_35,A
36,360,item_36,A
37,370,item_37,A
38,380,item_38,A
39,390,item_39,A
40,400,item_40,A
41,410,item_41,A
42,420,item_42,A
43,430,item_43,A
44,440,item_44,A
45,450,item_45,A
46,460,item_46,A
47,470,item_47,A
48,480,item_48,A
49,490,item_49,A
50,500,item_50,A
51,510,item_51,B
52,520,item_52,B
53,530,item_53,B
54,540,item_54,B
55,550,item_55,B
56,560,item_56,B
57,570,item_57,B
58,580,item_58,B
59,590,item_59,B
60,600,item_60,B
61,610,item_61,B
62,620,item_62,B
63,630,item_63,B
64,640,item_64,B
65,650,item_65,B
66,660,item_66,B
67,670,item_67,B
68,680,item_68,B
69,690,item_69,B
70,700,item_70,B
71,710,item_71,B
72,720,item_72,B
73,730,item_73,B
74,740,item_74,B
75,750,item_75,B
76,760,item_76,B
77,770,item_77,B
78,780,item_78,B
79,790,item_79,B
80,800,item_80,B
81,810,item_81,B
82,820,item_82,B
83,830,item_83,B
84,840,item_84,B
85,850,item_85,B
86,860,item_86,B
87,870,item_87,B
88,880,item_88,B
89,890,item_89,B
90,900,item_90,B
91,910,item_91,B
92,920,item_92,B
93,930,item_93,B
94,940,item_94,B
95,950,item_95,B
96,960,item_96,B
97,970,item_97,B
98,980,item_98,B
99,990,item_99,B
100,1000,item_100,B
